,ruid,sum(rb)
713,42009,5953490005053.0
714,94439,5188738960.0
715,24941,155882147433999.0
716,37238,473437345686653.0
717,13714,35830669186.0
718,29556,10814351914686.0
719,102881,755827161932.0
720,74299,37916271195.0
721,32761,53869543405616.0
722,83509,93389324288.0
723,74445,7011010521.0
724,31137,11091797072.0
725,21773,1105129981714.0
726,71734,2423317807554.0
727,38346,25308515849233.0
728,35378,12528241549746.0
729,21117,323423262915.0
730,77890,5256760901371.0
731,7291,59799962199960.0
732,92854,18454982958.0
733,80026,59298987233.0
734,72717,21178583985189.0
735,10330,7746531468.0
736,6414,22648409064.0
737,101600,1827542601363.0
738,5896,52378343966.0
739,91477,12776227669307.0
740,37340,22754917324.0
741,13478,104519901.0
742,101668,29997946.0
743,3943,18954678784.0
744,39293,5178933738.0
745,81022,49531903225194.0
746,60888,79826141747265.0
747,56359,44852639920666.0
748,57748,63515176205319.0
749,38616,5553823805633.0
750,91879,220355634090.0
751,59453,1658938931418.0
752,9576,53212937.0
753,100334,143199402.0
754,77525,62894729792292.0
755,39953,32768.0
756,58541,1397965158.0
757,12147,113195430258905.0
758,28895,34757458706688.0
759,35289,568797788503769.0
760,11875,3724174158114914.0
761,2346,78306189211242.0
762,27524,79496656173600.0
763,99634,1626793315315.0
764,49660,34379145514.0
765,32224,1373465365654.0
766,60131,38267131933769.0
767,72946,97213304621553.0
768,72293,4247786394667.0
769,92343,1029984058922988.0
770,42186,4962089322896.0
771,71996,11749530995349.0
772,7693,5995837013754.0
773,83629,43660909358.0
774,93275,3018961388.0
775,96343,20429955000.0
776,73920,25269102388.0
777,49296,207527332853.0
778,28007,76120511273832.0
779,2524,16737742733195.0
780,24332,32159759599006.0
781,24817,116094232928354.0
782,29992,11342335931401.0
783,93125,27710564113.0
784,94239,1287588590624.0
785,96465,4445413258.0
786,22046,27058056835494.0
787,105075,166168237018.0
788,43961,2769371284.0
789,49959,94732098.0
790,2278,1982517974646.0
791,8996,1926428289819.0
792,42574,22431408.0
793,95446,495341175.0
794,81124,3968101058749.0
795,51667,22781692970278.0
796,101997,1692285260982.0
797,56581,0.0
798,95420,90210703919.0
799,89488,49101475.0
800,57970,102520232446561.0
801,95758,143379421065.0
802,49612,22668610025774.0
803,50244,52574178946800.0
804,72027,26665962247510.0
805,70434,47626321044.0
806,49999,1414537953831.0
807,16395,1971341406.0
808,78437,214830359.0
809,80295,591406195590.0
810,103252,264317202.0
811,57219,22385596568231.0
812,11191,629071484170359.0
813,88974,15945139757810.0
814,58197,22062904823323.0
815,9066,23564722884322.0
816,103092,28305922238447.0
817,103371,336684943.0
818,88874,4341218451.0
819,38433,1000794433231.0
820,86309,3377331229.0
821,30798,95372897.0
822,55399,5294310182.0
823,74000,48610907841.0
824,49573,920596480.0
825,39587,60118684439958.0
826,90448,25395803373364.0
827,72060,9205582257737.0
828,71074,65604706785639.0
829,56794,1707628852455.0
830,9668,323257177908.0
831,104285,40104369788.0
832,54608,1136101470275.0
833,42535,190071183.0
834,70998,55456657277401.0
835,55246,6418324335867.0
836,48641,3031592572.0
837,6314,5351428928640.0
838,84368,28730002334797.0
839,25240,5255301833725.0
840,26017,18300996282868.0
841,56216,7755869245836.0
842,56115,32505344487683.0
843,14014,6872910042686.0
844,81383,163880202331154.0
845,32708,5600816915895.0
846,78320,500431911.0
847,97520,1499649411967.0
848,103466,2566290233657.0
849,25312,40682059973779.0
850,4884,154122743665123.0
851,14494,8124867309638.0
852,30059,844567459804.0
853,27791,6002470890564.0
854,51799,7823728382.0
855,3471,89812312000.0
856,25318,21946349.0
857,24976,12477565916.0
858,16062,4739424972.0
859,32076,33891515808.0
860,16566,290452.0
861,96767,71850779852806.0
862,69023,11065261232255.0
863,2735,100191905281835.0
864,40344,491347443823.0
865,90819,5067681850763.0
866,66597,112572164499802.0
867,43881,177856648384.0
868,103065,477287314626.0
869,51745,4595043978.0
870,98103,11163908706.0
871,48307,1129478259047.0
872,27526,8011884155715.0
873,10669,134947450509.0
874,88606,2805245673231.0
875,41764,824556053716.0
876,50873,80682714259.0
877,91044,1760059705482.0
878,31685,4279758.0
879,100724,263436608060041.0
880,8632,18277397640039.0
881,41945,107057039191393.0
882,5137,19864247178957.0
883,50593,251874479323.0
884,14240,4663361885340.0
885,17231,213162874676.0
886,31336,6780254667299.0
887,82353,2038228664477.0
888,32030,558222850144.0
889,30070,7206561102463.0
890,19275,97126534456.0
891,53057,19486543.0
892,91955,1065703808079.0
893,89630,2692506915.0
894,90271,50557395160.0
895,31949,225184454906853.0
896,105871,13465203044147.0
897,35743,4142975153016.0
898,40598,60846675281019.0
899,81541,3304883938625.0
900,91903,1952842004576.0
901,32634,37732501865626.0
902,8951,28508889349.0
903,105488,12374255447.0
904,51656,50.0
905,62662,0.0
906,68161,45140403498714.0
907,17140,1337437065557439.0
908,5741,24342753782.0
909,11811,9533840484684.0
910,74570,23978060252064.0
911,86341,298700122759.0
912,93892,160519714321.0
913,82700,5299404.0
914,85567,17049278176.0
915,89752,1895354790.0
916,20824,411273395232.0
917,17431,1676927768778.0
