,ruid,count
1186,5468,504
1187,92929,215
1188,95636,220345
1189,79227,18
1190,103661,3643
1191,18532,3
1192,54841,3420
1193,97294,10
1194,22754,7
1195,7721,2
1196,90599,28121
1197,78012,535791
1198,38175,106631
1199,104201,173
1200,37572,2762
1201,58809,764570
1202,55679,17552
1203,94061,2683
1204,79455,161
1205,99877,496
1206,83420,10018
1207,15261,6587
1208,70669,33
1209,77810,5
1210,15542,440
1211,39115,68755600
1212,30140,2103430
1213,31174,4535
1214,57603,359766
1215,84601,247263
1216,86332,1595
1217,51915,445
1218,32646,24895
1219,73222,432
1220,52956,28846
1221,101474,49
1222,68813,9258173
1223,6918,127470
1224,42328,37995
1225,60461,95
1226,31686,74562
1227,93251,5709
1228,42832,537752
1229,55080,32763
1230,90151,211
1231,97611,106
1232,103462,76
1233,79211,1052
1234,8959,441367632
1235,31764,304081
1236,89839,130246
1237,93253,82
1238,1039,2194
1239,70666,342899
1240,9511,426
1241,4579,1672838
1242,31300,33299
1243,56377,259004
1244,80187,14978
1245,70498,22833
1246,37419,1224
1247,80149,6
1248,13770,1744
1249,46689,2
1250,91712,83507
1251,101666,292465
1252,98885,45832
1253,79335,14437354
1254,31593,338849
1255,5410,16627000
1256,11816,2067
1257,103608,9181
1258,25964,52732
1259,10782,1551
1260,1447,298
1261,28563,496856
1262,88993,282993
1263,42447,1148103
1264,82953,478891
1265,92975,4554981
1266,6034,49479
1267,69094,10323
1268,97001,52
1269,103283,107
1270,14907,27
1271,3692,109
1272,14763,5873
1273,71738,47149
1274,80397,24
1275,81342,89
1276,3760,2
1277,11118,786251
1278,11198,106565
1279,69243,65268
1280,57458,6802
1281,57129,44460
1282,80289,467316
1283,8791,9940
1284,93770,1210
1285,93503,132
1286,31059,102822
1287,102900,31
1288,30398,15
1289,69093,16658
1290,103765,486384
1291,70872,228783
1292,23679,23116
1293,49072,39995
1294,12218,247
1295,3318,30
1296,32011,82
1297,2672,38
1298,100662,41
1299,72090,88803
1300,99956,87580
1301,24234,723147
1302,38560,48174
1303,60014,7460
1304,50259,262431
1305,72984,27962
1306,88620,4
1307,6702,3243041
1308,99659,61323
1309,100095,9295
1310,23943,494233
1311,100006,152974
